Borough,Year,Week,NumberAccidents,NumberLethalAccidents,sum(NumberInjured),sum(NumberKilled),AvgNumberLethalAccidents
BOROUGH_NOT_SPECIFIED,2013,46,1030,3,309,3,0.002912621359223301
BRONX,2013,46,393,1,145,1,0.002544529262086514
BROOKLYN,2013,46,889,0,294,0,0.0
MANHATTAN,2013,46,832,1,154,1,0.001201923076923077
QUEENS,2013,46,791,2,202,3,0.0025284450063211127
STATEN ISLAND,2013,46,141,0,28,0,0.0
BOROUGH_NOT_SPECIFIED,2013,47,1021,2,274,2,0.0019588638589618022
BRONX,2013,47,368,1,140,1,0.002717391304347826
BROOKLYN,2013,47,963,1,291,1,0.0010384215991692627
MANHATTAN,2013,47,862,2,142,2,0.002320185614849188
QUEENS,2013,47,840,0,209,0,0.0
STATEN ISLAND,2013,47,123,0,32,0,0.0
BOROUGH_NOT_SPECIFIED,2013,48,1005,4,266,5,0.003980099502487562
BRONX,2013,48,377,0,108,0,0.0
BROOKLYN,2013,48,952,2,313,2,0.0021008403361344537
MANHATTAN,2013,48,790,3,153,3,0.0037974683544303796
QUEENS,2013,48,834,2,204,2,0.002398081534772182
STATEN ISLAND,2013,48,125,0,28,0,0.0
BOROUGH_NOT_SPECIFIED,2013,49,957,4,285,4,0.0041797283176593526
BRONX,2013,49,356,0,96,0,0.0
BROOKLYN,2013,49,921,0,315,0,0.0
MANHATTAN,2013,49,843,0,140,0,0.0
QUEENS,2013,49,765,1,214,1,0.00130718954248366
STATEN ISLAND,2013,49,135,0,34,0,0.0
BOROUGH_NOT_SPECIFIED,2013,50,987,3,239,3,0.00303951367781155
BRONX,2013,50,391,0,117,0,0.0
BROOKLYN,2013,50,950,1,269,1,0.0010526315789473684
